Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Age,Count_Children,Total_Value
Graduation,Divorced,84835.0,0.0,1.0,4.0,4.0,6.0,1.0,1,53.0,0.0,1190.0
Graduation,Single,57091.0,0.0,1.0,7.0,3.0,7.0,5.0,1,62.0,0.0,577.0
Graduation,Married,67267.0,0.0,1.0,3.0,2.0,5.0,2.0,0,65.0,1.0,251.0
Graduation,Together,32474.0,0.0,1.0,1.0,0.0,2.0,7.0,0,56.0,2.0,11.0
Graduation,Single,21474.0,0.0,2.0,3.0,1.0,2.0,7.0,1,34.0,1.0,91.0
PhD,Single,71691.0,0.0,1.0,4.0,7.0,5.0,2.0,1,65.0,0.0,1192.0
2n Cycle,Married,63564.0,0.0,1.0,10.0,10.0,7.0,6.0,1,69.0,0.0,1215.0
Graduation,Together,44931.0,0.0,1.0,2.0,1.0,3.0,5.0,0,56.0,1.0,96.0
PhD,Married,65324.0,0.0,3.0,6.0,2.0,9.0,4.0,0,69.0,1.0,544.0
PhD,Married,65324.0,0.0,3.0,6.0,2.0,9.0,4.0,0,69.0,1.0,544.0
2n Cycle,Married,81044.0,0.0,1.0,5.0,6.0,10.0,1.0,0,76.0,0.0,1208.0
Master,Together,62499.0,0.0,2.0,3.0,1.0,6.0,4.0,0,44.0,1.0,222.0
PhD,Widow,67786.0,0.0,1.0,3.0,6.0,6.0,1.0,1,64.0,0.0,1156.0
Graduation,Married,26872.0,0.0,1.0,1.0,1.0,2.0,6.0,0,42.0,0.0,72.0
Graduation,Married,4428.0,0.0,0.0,4.084821428571429,0.0,0.0,1.0,0,54.0,1.0,359.0
Graduation,Married,54809.0,0.0,4.0,2.0,1.0,5.0,4.0,0,46.0,2.0,174.0
Graduation,Married,54809.0,0.0,4.0,2.0,1.0,5.0,4.0,1,46.0,2.0,174.0
PhD,Divorced,32173.0,0.0,1.0,1.0,0.0,3.0,4.0,0,65.0,1.0,22.0
2n Cycle,Single,47823.0,0.0,2.0,2.0,0.0,3.0,8.0,0,63.0,1.0,72.0
Master,Single,30523.0,0.0,1.0,1.0,0.0,2.0,7.0,0,65.0,0.9504464285714286,13.0
Master,Together,36634.0,0.0,3.0,5.0,2.0,5.0,7.0,0,69.0,1.0,335.0
Master,Single,43456.0,0.0,3.0,5.0,1.0,8.0,5.0,0,57.0,1.0,393.0
Master,Married,40662.0,0.0,2.0,2.0,1.0,3.0,4.0,0,44.0,1.0,92.0
PhD,Married,49544.0,0.0,2.0,5.0,1.0,8.0,7.0,0,47.0,1.0,404.0
Graduation,Single,57731.0,0.0,4.0,8.0,8.0,6.0,6.0,0,54.0,1.0,704.0
Master,Single,33168.0,0.0,3.0,2.0,1.0,4.0,7.0,0,58.0,1.0,122.0
Graduation,Together,54450.0,0.0,2.325,9.0,2.0,8.0,8.0,0,67.0,2.0,684.0
Graduation,Together,54450.0,0.0,2.325,9.0,2.0,8.0,8.0,0,67.0,2.0,684.0
PhD,Widow,35340.0,1.0,2.0,2.0,0.0,3.0,5.0,0,67.0,2.0,45.0
Graduation,Single,73170.0,1.0,1.0,5.0,4.0,6.0,2.0,0,48.0,0.0,726.0
PhD,Divorced,65808.0,1.0,3.0,5.0,1.0,5.0,6.0,0,52.0,2.0,272.0
